headline	lead_paragraph	web_url
Obama Tries to Soften European Creditors&#8217; Stance to Salvage a Deal 	The White House has made it a point to say that Greek stability is in the United States&#8217; national security interest as well as in its economic interest.	http://www.nytimes.com/2015/07/01/world/europe/obama-tries-to-soften-european-creditors-stance-to-salvage-a-deal.html
Pressure Mounting on Saudis&#8217; Coalition in Yemen	Aid officials are preparing to add Yemen to the ranks of the world&#8217;s most severe humanitarian crises and human rights groups point to what may be war crimes.	http://www.nytimes.com/2015/07/01/world/middleeast/pressure-mounting-on-saudis-coalition-in-yemen.html
Egyptian President Vows Swifter Justice for Terrorists After Assassination	Abdel Fattah el-Sisi said he would enact new laws to speed terrorism trials and sentences, including executions, a day after a bombing killed Egypt&#8217;s top prosecutor as he drove to work.	http://www.nytimes.com/2015/07/01/world/middleeast/egyptian-president-vows-swifter-justice-for-terrorists-after-assassination.html
Leader of Brazil Visits Amid Home Turbulence	Fixing President Dilma Rousseff’s relationship with the United States and wooing American investors are widely seen as vital to Brazil’s recovery.	http://www.nytimes.com/2015/07/01/world/americas/leader-of-brazil-visits-amid-home-turbulence.html
Divide on Iran Nuclear Deal: Hard-Liners vs. ‘Invisible People’	As a vocal group rails against a nuclear deal, a seemingly larger group of Iranians long for a deal they say would help them and the country advance.	http://www.nytimes.com/2015/07/01/world/middleeast/divide-on-iran-nuclear-deal-hard-liners-vs-invisible-people.html
ISIS Allies Target Hamas and Energize Gaza Extremists 	An Islamist group calling itself Supporters of the Islamic State has conducted a bombing campaign against Hamas, whom it claims is not sufficiently extreme.	http://www.nytimes.com/2015/07/01/world/isis-allies-target-hamas-and-energize-gaza-extremists.html
Spain’s New Public Safety Law Has Its Challengers	Demonstrators can face hefty fines under a law that forbids unauthorized gatherings around Parliament, making amateur videos of the police and insulting officers.	http://www.nytimes.com/2015/07/01/world/europe/spains-new-public-safety-law-has-its-challengers.html
U.S. and Cuba Reach an Agreement to Reopen Embassies, Officials Say	The United States and Cuba will announce an agreement to reopen embassies in each other’s capitals, formally restoring diplomatic relations, according to administration officials.	http://www.nytimes.com/2015/07/01/world/americas/us-and-cuba-to-announce-plan-to-reopen-embassies.html
Lufthansa Offers Compensation to Families of Germanwings Crash Victims	Lufthansa proposed on Tuesday to pay $28,000 each in emotional damages to the German victims’ families, an amount dismissed as inadequate by lawyers for the families.	http://www.nytimes.com/2015/07/01/world/europe/lufthansa-offers-compensation-to-families-of-germanwings-crash-victims.html
Israel’s Cartoon Diplomacy Equates Iran and Islamic State	Israel’s government released an animated video that equates the threat from Islamic State militants to that of a nuclear-armed Iran.	http://www.nytimes.com/2015/07/01/world/middleeast/israels-cartoon-diplomacy-equates-iran-and-islamic-state.html
Gunman at Tunisian Beach Hotel Trained With Museum Attackers	The man who killed 38 people last week had spent time in a militant camp in Libya, overlapping with two men who killed 22 in March, security officials said Tuesday.	http://www.nytimes.com/2015/07/01/world/africa/gunman-at-tunisian-beach-hotel-trained-with-museum-attackers.html
Israeli Man Dies in Attack Near West Bank Settlement	An Israeli man, shot while riding in a car, died Tuesday as Israel blamed Palestinian television for inciting a recent wave of violence.	http://www.nytimes.com/2015/07/01/world/middleeast/israeli-man-dies-in-attack-near-west-bank-settlement.html
A Crowdfunding Campaign Tries to Save Greece	It is a nice gesture, a crowdfunding expert says. It is also totally impossible.	http://www.nytimes.com/2015/07/01/world/europe/a-crowdfunding-campaign-tries-to-save-greece.html
France Orders 2 Uber Executives to Stand Trial	The Paris prosecutor’s office accused the company of illegally organizing taxi services through its low-cost UberPop ride-hailing option.	http://www.nytimes.com/2015/07/01/world/europe/france-orders-2-uber-executives-to-stand-trial.html
French Telecom Company Orange in Deal That Lets It Part With Israeli Provider	The agreement comes after an Orange executive’s comments about wanting to get out Israel’s cellular market caused a diplomatic storm.	http://www.nytimes.com/2015/07/01/world/middleeast/french-telecom-orange-israel-partner-communications.html
Global Climate Pact Gains Momentum as China, U.S. and Brazil Detail Plans	President Obama and President Dilma Rousseff of Brazil pledged to increase the use of wind and solar power, and Brazil said it would restore nearly 30 million acres of Amazon rain forest.	http://www.nytimes.com/2015/07/01/world/americas/us-and-brazil-agree-on-climate-change-actions.html
China Pledges to Halt Growth of Carbon Emissions in Climate Plan	China, the world’s top greenhouse gas emitter, pledged to wean its economy off fossil fuels and reach “the earliest possible peak” in emissions.	http://www.nytimes.com/2015/07/01/world/asia/china-carbon-emissions-climate-change.html
U.N. Chief: World Should be Ashamed at Failure to End Syria Conflict	U.N. Secretary-General Ban Ki-moon said more than 220,000 Syrians have died in the conflict after major powers approved a blueprint in Geneva to bring peace to Syria.	http://www.nytimes.com/aponline/2015/06/30/world/middleeast/ap-un-united-nations-syria.html
Dirty Water and Open Defecation Threaten Gains in Child Health	A report by the World Health Organization and the United Nations Children’s Fund says that one in three people in the world have no sanitation facilities.	http://www.nytimes.com/2015/07/01/world/americas/dirty-water-and-open-defecation-threaten-gains-in-child-health.html
Greece, Missing I.M.F. Payment, Is Called Effectively in Default	Near the deadline for a loan payment, Prime Minister Alexis Tsipras asked for another bailout, which would buy time for Athens to renegotiate its debt.	http://www.nytimes.com/2015/07/01/world/europe/greece-alex-tsipras-debt-emergency-bailout.html
